,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
276,Drank In My Cup,Kirko Bangz,2012,3m8CQnnfJJp4eQMWWl3zay,0.0114,0.451,232160,0.632,0.0,8,0.198,-7.98,0.297,132.89,4,0.234,59,"dirty south rap,houston rap,pop r&b,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
277,Birthday Cake,Rihanna Featuring Chris Brown,2012,1fZBH3FsiPnmarnLezb88G,0.32,0.702,78200,0.826,0.000227,3,0.355,-6.498,0.0529,80.014,4,0.329,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
278,So Good,B.o.B,2012,28GUjBGqZVcAV4PHSYzkj2,0.0403,0.66,213253,0.9,0.0,7,0.219,-5.02,0.14,85.51,4,0.591,78,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",pop,36,0,0
279,50 Ways To Say Goodbye,Train,2012,2NniAhAtkRACaMeYt48xlD,0.000284,0.591,247947,0.935,0.000278,6,0.142,-2.664,0.0478,140.043,4,0.736,78,"dance pop,neo mellow,pop,pop rock,post-teen pop",pop,36,0,0
280,Red Solo Cup,Toby Keith,2012,6J1opxLcauuUU0ztQq3Mwv,0.316,0.64,226013,0.558,0.0,4,0.197,-6.636,0.0459,82.046,4,0.837,73,"contemporary country,country,country road,oklahoma country",contemporary country,12,0,0
281,Love You Like A Love Song,Selena Gomez & The Scene,2012,0laYHRpNTS6i8FXdupHkJ4,0.0761,0.858,188453,0.678,0.0,1,0.0741,-3.87,0.0469,117.009,4,0.922,72,"dance pop,electropop,pop,pop rap,post-teen pop,viral pop",pop,36,0,0
282,Turn Up The Music,Chris Brown,2012,3hFPJunq7YhBLwmbRnXMfT,0.000238,0.594,227973,0.841,2.22e-06,1,0.156,-5.792,0.102,129.925,4,0.643,91,"dance pop,pop,pop rap,r&b,rap",pop,36,0,0
283,Die Young,Ke$ha,2012,5jPyymL6gQyJNMMnMX1IMx,0.00498,0.711,211920,0.7,0.000125,1,0.215,-4.805,0.046,128.001,4,0.801,82,"dance pop,electropop,pop,post-teen pop",pop,36,0,0
284,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012,6cqw6qtZltOPPDbKEk4WWf,0.0716,0.536,281213,0.751,0.0,7,0.122,-5.601,0.255,167.872,4,0.357,82,"dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",pop,36,0,0
285,A Thousand Years,Christina Perri,2012,6lanRgr6wXibZr8KgzXxBl,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,0.0267,139.028,3,0.161,76,"dance pop,indie cafe pop,neo mellow,pop,pop rock,post-teen pop,viral pop",pop,36,0,0
286,Take A Little Ride,Jason Aldean,2012,2o5mwv7hvas1jdUg14Nihv,0.044,0.472,187613,0.866,0.0,2,0.213,-3.771,0.0413,163.867,4,0.775,79,"contemporary country,country,country road",contemporary country,12,0,0
287,You Da One,Rihanna,2012,3Yt9lRtS5V4nbJnwcgFgvC,0.503,0.702,200013,0.715,2.44e-05,5,0.126,-5.377,0.0425,127.05,4,0.863,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
288,We Run The Night,Havana Brown Featuring Pitbull,2012,0mtPNQl5vePVwiI9Vykp7L,0.00482,0.697,228200,0.861,1.83e-06,9,0.41,-4.389,0.144,127.023,4,0.703,48,"australian dance,australian pop",australian pop,2,0,0
289,It's Time,Imagine Dragons,2012,6BtmXhTJMM9sBTHeYYASGz,0.0162,0.656,237987,0.884,0.0,2,0.145,-4.748,0.0372,105.009,4,0.86,90,"modern rock,rock",modern rock,34,0,0
290,Cashin' Out,Ca$h Out,2012,1POAx4NMLOBPVKZUSsBh92,0.149,0.831,238760,0.665,0.0,1,0.0636,-3.627,0.0711,129.989,4,0.663,51,"atl hip hop,deep southern trap,futuristic swag,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
291,I Don't Want This Night To End,Luke Bryan,2012,0cV4xwUA4ue2deqq4CZFko,0.0275,0.616,219973,0.728,0.0,9,0.228,-4.02,0.0278,111.934,4,0.375,80,"contemporary country,country,country road",contemporary country,12,0,0
292,Diamonds,Rihanna,2012,5VmkzMD9SUgWOGWKG7GVcg,0.00125,0.564,225147,0.71,0.0,11,0.109,-4.92,0.0461,91.972,4,0.393,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
293,Hard To Love,Lee Brice,2012,6E9V9TRlVOLjenGjHemzEH,0.0119,0.638,224293,0.722,0.00808,9,0.189,-6.177,0.0332,103.017,4,0.469,76,"contemporary country,country,country road,modern country rock",contemporary country,12,0,0
294,Somethin' 'Bout A Truck,Kip Moore,2012,6Ymvlzom4TQeoKqAWsZRD8,0.0697,0.554,213827,0.794,0.0,11,0.63,-5.417,0.035,176.01,4,0.79,68,"contemporary country,country,country road,modern country rock",contemporary country,12,0,0
295,Adorn,Miguel,2012,25cUhiAod71TIQSNicOaW3,0.0543,0.625,193147,0.576,4.07e-05,11,0.187,-5.693,0.175,179.063,4,0.235,82,"dance pop,pop,r&b,urban contemporary",pop,36,0,0
296,Fly Over States,Jason Aldean,2012,17X2tSzibD9n9QRjdExcWT,0.069,0.487,218200,0.736,0.0,7,0.114,-3.269,0.0326,81.587,4,0.184,79,"contemporary country,country,country road",contemporary country,12,0,0
297,Even If It Breaks Your Heart,Eli Young Band,2012,0Nu9WA8kEbBWEsay2s8Q0U,0.000159,0.495,220520,0.527,0.0163,0,0.1,-4.742,0.0351,208.067,4,0.574,67,"contemporary country,country,country road,heartland rock,modern country rock,pop rock,texas country",contemporary country,12,0,0
298,Burn It Down,Linkin Park,2012,7oVEtyuv9NBmnytsCIsY5I,0.0143,0.585,230253,0.972,0.0,9,0.0707,-4.45,0.0534,110.006,4,0.585,87,"alternative metal,nu metal,post-grunge,rap metal",alternative metal,1,0,0
299,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,4YMqbFcDIFiCBd02PzUBcM,0.0619,0.781,235613,0.526,0.0,6,0.0457,-6.985,0.293,94.992,4,0.662,78,"dance pop,pop,pop rap,seattle hip hop",pop,36,0,0
300,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,0n4bITAu0Y0nigrz3MFJMb,0.00334,0.853,263827,0.599,7.93e-06,7,0.0759,-4.756,0.0411,119.993,4,0.843,70,"dance pop,hip pop,neo soul,r&b,urban contemporary",dance pop,15,1,1
301,Radioactive,Imagine Dragons,2013,4G8gkOterJn0Ywt6uhqbhp,0.106,0.448,186813,0.784,0.000108,9,0.668,-3.686,0.0627,136.245,4,0.236,90,"modern rock,rock",modern rock,34,1,1
302,Harlem Shake,Baauer,2013,01XFgRZfZI7oBagNf1Loml,0.0111,0.452,196664,0.794,0.00182,0,0.416,-5.151,0.0483,137.825,4,0.282,61,"bass trap,electro house,electronic trap,vapor twitch",electro house,18,1,1
303,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,3bidbhpOYeV4knp8AIu8Xn,0.0291,0.641,258343,0.922,0.0,2,0.0862,-4.457,0.0786,146.078,4,0.847,78,"dance pop,pop,pop rap,seattle hip hop",pop,36,1,1
304,Mirrors,Justin Timberlake,2013,4rHZZAmHpZrA3iH5zx8frV,0.234,0.574,484147,0.512,0.0,5,0.0946,-6.664,0.0503,76.899,4,0.512,84,"dance pop,pop",pop,36,1,1
305,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,4VC5nFbYO4avKksJ9jN4pY,0.346,0.778,242733,0.547,0.000302,2,0.132,-7.273,0.0489,95.002,4,0.441,87,"dance pop,pop,post-teen pop",pop,36,1,0
306,When I Was Your Man,Bruno Mars,2013,0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,213827,0.28,0.0,0,0.088,-8.648,0.0434,72.795,4,0.387,94,"dance pop,pop",pop,36,1,0
307,Cruise,Florida Georgia Line Featuring Nelly,2013,0i5el041vd6nxrGEU8QRxy,0.0191,0.457,208960,0.948,0.0,10,0.0536,-3.364,0.0354,148.0,4,0.878,83,"contemporary country,country,country pop,country road,modern country rock",contemporary country,12,1,0
308,Roar,Katy Perry,2013,6F5c58TMEs1byxUstkzVeM,0.00487,0.554,223546,0.772,6.6e-06,7,0.354,-4.821,0.0418,179.984,4,0.455,88,"dance pop,pop,post-teen pop",pop,36,1,0
309,Locked Out Of Heaven,Bruno Mars,2013,3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,233478,0.698,0.0,5,0.309,-4.165,0.0431,143.994,4,0.867,94,"dance pop,pop",pop,36,1,0
310,Ho Hey,The Lumineers,2013,0W4Kpfp1w2xkY3PrV714B7,0.794,0.685,163133,0.466,2.06e-06,0,0.0915,-9.074,0.0304,79.936,4,0.353,80,"folk-pop,modern rock,stomp and holler",modern rock,34,1,0
311,Stay,Rihanna Featuring Mikky Ekko,2013,1dEy9Pl81QopSxNsPxXQxv,0.945,0.621,240707,0.31,6.12e-05,9,0.117,-10.164,0.0283,111.893,4,0.125,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
312,Get Lucky,Daft Punk Featuring Pharrell Williams,2013,69kOkLUCkxIZYexIgSG8rq,0.0378,0.81,369627,0.793,1.77e-06,6,0.072,-9.404,0.0403,116.05,4,0.863,86,"electro,filter house",electro,17,0,0
313,Royals,Lorde,2013,2dLLR6qlu5UJ5gk0dKz0h3,0.121,0.674,190185,0.428,0.0,7,0.132,-9.504,0.122,84.878,4,0.337,81,"art pop,dance pop,electropop,metropopolis,nz pop,pop,post-teen pop",pop,36,0,0
314,I Knew You Were Trouble.,Taylor Swift,2013,72jCZdH0Lhg93z6Z4hBjgj,0.00454,0.622,217973,0.469,2.25e-06,3,0.0398,-6.798,0.0363,77.019,4,0.679,98,"pop,post-teen pop",pop,36,0,0
315,We Can't Stop,Miley Cyrus,2013,2y4lAQpi5VTNLu2ldeTdUH,0.00882,0.613,231240,0.622,0.0,1,0.37,-5.794,0.0334,80.003,4,0.484,89,"dance pop,pop,post-teen pop",pop,36,0,0
316,Wrecking Ball,Miley Cyrus,2013,2vwlzO0Qp8kfEtzTsCXfyE,0.407,0.53,221360,0.422,0.0,5,0.107,-6.262,0.0342,119.964,4,0.349,89,"dance pop,pop,post-teen pop",pop,36,0,0
317,Wake Me Up!,Avicii,2013,4h8VwCb1MTGoLKueQ1WgbD,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,0.0523,124.08,4,0.643,86,"dance pop,edm,pop,pop dance",pop,36,0,0
318,Suit & Tie,Justin Timberlake Featuring JAY Z,2013,6vt0I1cw1YmAIKDJvHVIM5,0.103,0.795,326280,0.596,0.0,11,0.164,-3.799,0.219,101.985,4,0.357,84,"dance pop,pop",pop,36,0,0
319,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,6mH3qVIeOsnQIAho5eWwhH,0.0462,0.878,128013,0.455,0.00484,0,0.0353,-8.845,0.077,129.953,4,0.79,69,"hollywood,movie tunes,show tunes",hollywood,24,0,0
320,Holy Grail,Jay Z Featuring Justin Timberlake,2013,37jTPJgwCCmIGMPB45jrPV,0.0594,0.676,338413,0.534,8.59e-06,2,0.256,-6.901,0.0831,145.082,4,0.156,87,"east coast hip hop,hip hop,pop rap,rap",pop rap,38,0,0
321,Scream & Shout,will.i.am & Britney Spears,2013,2iJuuzV8P9Yz0VSurttIV5,0.019,0.772,283400,0.685,8.96e-05,5,0.131,-6.849,0.0696,130.033,4,0.501,78,"dance pop,pop,pop rap,post-teen pop",pop,36,0,0
322,Clarity,Zedd Featuring Foxes,2013,60wwxj6Dd9NJlirf84wr2c,0.0398,0.509,271427,0.781,0.0,8,0.0749,-3.48,0.072,128.0,4,0.176,81,"complextro,dance pop,edm,electro house,electropop,german techno,pop,pop dance,post-teen pop,tropical house",pop,36,0,0
323,Sail,AWOLNATION,2013,5xhQChGGhKLWqBqX4XhtYE,0.452,0.825,259102,0.435,0.609,1,0.0953,-9.582,0.0568,119.038,4,0.243,69,"la indie,modern alternative rock,modern rock,pop rock,rock,stomp pop",pop rock,39,0,0
324,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,2V65y3PX4DkRhy1djlxd9p,0.112,0.612,212862,0.84,0.0,11,0.116,-3.145,0.0509,129.042,4,0.438,71,"dance pop,edm,electro house,pop,pop dance,progressive electro house",pop,36,0,0
325,Diamonds,Rihanna,2013,1z9kQ14XBSN0r2v6fx4IdG,0.00125,0.564,225147,0.71,0.0,11,0.109,-4.92,0.0461,91.972,4,0.393,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
326,I Love It,Icona Pop Featuring Charli XCX,2013,3VZQshi4COChhXaz7cLP02,0.00855,0.714,155337,0.905,2.55e-05,8,0.146,-2.663,0.0289,125.927,4,0.838,71,"candy pop,dance pop,edm,electropop,metropopolis,pop,swedish electropop,swedish synthpop",pop,36,0,0
327,Safe And Sound,Capital Cities,2013,6Z8R6UsFuGXGtiIxiD8ISb,0.000176,0.655,192790,0.819,0.00374,0,0.104,-4.852,0.0316,117.956,5,0.766,70,"alternative dance,metropopolis",metropopolis,30,0,0
328,Treasure,Bruno Mars,2013,55h7vJchibLdUkxdlX3fK7,0.0412,0.874,178560,0.692,7.24e-05,5,0.324,-5.28,0.0431,116.017,4,0.937,94,"dance pop,pop",pop,36,0,0
329,The Way,Ariana Grande Featuring Mac Miller,2013,06EL94D0TA27Ik0Ke5usbj,0.294,0.645,227027,0.877,0.0,5,0.0759,-3.208,0.113,82.324,4,0.861,96,"pop,post-teen pop",pop,36,0,0
330,Started From The Bottom,Drake,2013,6V2D8Lls36APk0THDjBDfE,0.0328,0.794,174133,0.522,0.0,8,0.156,-7.829,0.159,86.318,4,0.567,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
331,Come & Get It,Selena Gomez,2013,6LoQHIo74tOzQ8EsLEkhgF,0.0101,0.546,231987,0.787,0.00021,7,0.0809,-4.1,0.0517,79.979,4,0.573,89,"dance pop,pop,post-teen pop",pop,36,0,0
332,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,14Rcq31SafFBHNEwXrtR2B,0.00415,0.776,227880,0.413,2.68e-05,6,0.0724,-7.438,0.0952,100.003,4,0.287,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
333,Daylight,Maroon 5,2013,6TwfdLbaxTKzQi3AgsZNzx,0.00246,0.657,225307,0.679,0.0,2,0.211,-5.511,0.0269,120.007,4,0.331,91,"pop,pop rock",pop,36,0,0
334,Feel This Moment,Pitbull Featuring Christina Aguilera,2013,0Hf4aIJpsN4Os2f0y0VqWl,0.039,0.673,229507,0.758,0.0,7,0.341,-3.632,0.158,135.956,4,0.542,87,"dance pop,latin,miami hip hop,pop,pop rap",pop,36,0,0
335,Applause,Lady Gaga,2013,5ka2ajep9OAvU5Sgduhiex,0.0265,0.669,212333,0.78,1.63e-06,7,0.143,-4.287,0.053,139.945,4,0.738,90,"dance pop,pop,post-teen pop",pop,36,0,0
336,One More Night,Maroon 5,2013,4XNrMwGx1SqP01sqkGTDmo,0.0444,0.718,219467,0.82,0.0,5,0.0846,-3.453,0.0323,92.998,4,0.613,91,"pop,pop rock",pop,36,0,0
337,Love Me,Lil Wayne Featuring Drake & Future,2013,7tGlzXJv6GD5e5qlu5YmDg,0.0119,0.674,253440,0.608,0.0,8,0.103,-6.628,0.0334,124.952,4,0.464,90,"hip hop,new orleans rap,pop rap,rap,trap",pop rap,38,0,0
338,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,7s0lDK7y3XLmI7tcsRAbW0,0.0271,0.558,186827,0.924,3.32e-06,9,0.537,-4.341,0.064,151.99,4,0.567,83,"emo,modern rock,pop punk",modern rock,34,0,0
339,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,4X5f3vT8MRuXF68pfjNte5,0.0239,0.853,233787,0.693,0.0,1,0.11,-6.87,0.275,95.967,4,0.662,86,"east coast hip hop,hip hop,rap,trap",rap,42,0,0
340,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,190jyVPHYjAqEaOGmMzdyk,0.000688,0.602,227987,0.843,5.27e-05,0,0.0682,-4.831,0.0593,128.003,4,0.526,100,"canadian pop,pop,post-teen pop",pop,36,0,0
341,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,01uqI4H13Gsd8Lyl1EYd8H,0.716,0.688,318525,0.473,4.46e-05,8,0.104,-9.059,0.167,84.958,4,0.299,78,"dance pop,pop,pop rap,seattle hip hop",pop,36,0,0
342,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,24LS4lQShWyixJ0ZrJXfJ5,0.197,0.573,212560,0.929,0.000112,8,0.0567,-3.942,0.109,127.934,4,0.582,88,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",pop,36,0,0
343,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,6PUIzlqotEmPuBfjbwYWOB,0.0157,0.572,214912,0.81,6.53e-06,1,0.13,-5.791,0.0558,126.052,4,0.11,89,"art pop,pop",pop,36,0,0
344,Home,Phillip Phillips,2013,4rsW3WCZBGwhHfJWuHRwyT,0.0256,0.606,210173,0.826,1.56e-05,0,0.117,-6.04,0.0307,121.04,4,0.322,65,"folk-pop,modern rock,neo mellow,pop rock",pop rock,39,0,0
345,It's Time,Imagine Dragons,2013,6BtmXhTJMM9sBTHeYYASGz,0.0162,0.656,237987,0.884,0.0,2,0.145,-4.748,0.0372,105.009,4,0.86,90,"modern rock,rock",modern rock,34,0,0
346,Power Trip,J. Cole Featuring Miguel,2013,7FOJvA3PxiIU0DN3JjQ7jT,0.322,0.667,241160,0.61,0.000203,1,0.426,-7.054,0.217,99.991,4,0.465,88,"conscious hip hop,hip hop,north carolina hip hop,rap",rap,42,0,0
347,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,3XyMPyuWwHcGMvXeJY6Qt0,0.0869,0.591,270720,0.808,0.00396,9,0.147,-5.943,0.288,92.864,4,0.337,82,"hip pop,neo soul,pop,r&b,urban contemporary",pop,36,0,0
348,Heart Attack,Demi Lovato,2013,1V6gIisPpYqgFeWbMLI0bA,0.0738,0.504,210840,0.785,0.0,8,0.239,-4.802,0.104,173.968,4,0.502,89,"dance pop,pop,post-teen pop",pop,36,0,0
349,Love Somebody,Maroon 5,2013,0HnaqUxvHP5LaWdmWwJpiS,0.145,0.675,229813,0.792,0.0,1,0.12,-6.303,0.0368,120.016,4,0.395,91,"pop,pop rock",pop,36,0,0
350,I Will Wait,Mumford & Sons,2013,0hm8rgOY17z7kQJlqGKbu7,0.00993,0.48,276720,0.756,0.00704,1,0.312,-5.399,0.0333,131.127,4,0.447,78,"modern folk rock,modern rock,stomp and holler,uk americana",modern rock,34,0,0
351,Try,P!nk,2013,01DSvNTUsVROjnSF5j3UbD,0.00141,0.673,247907,0.629,0.0,2,0.0944,-7.072,0.0299,103.998,4,0.551,87,"dance pop,pop,post-teen pop",pop,36,0,0
352,Wagon Wheel,Darius Rucker,2013,3xdjjKMcMOFgo1eQrfbogM,0.455,0.537,298373,0.66,0.0,9,0.135,-7.174,0.0296,148.096,4,0.574,72,"contemporary country,country,country road",contemporary country,12,0,0
353,Gangnam Style,PSY,2013,03UrZgTINDqvnUMbbIMhql,0.00417,0.727,219493,0.937,0.0,11,0.091,-2.871,0.286,132.067,4,0.749,64,"k-pop,k-rap,korean old school hip hop",k-pop,26,0,0
354,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,05SBRd4fXgn8FX7bf8BCAE,0.41,0.695,234507,0.869,0.0,8,0.237,-5.066,0.0483,124.989,4,0.58,88,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",pop,36,0,0
355,Die Young,Ke$ha,2013,7EQGXaVSyEDsCWKmUcfpLk,0.00498,0.711,211920,0.7,0.000125,1,0.215,-4.805,0.046,128.001,4,0.801,82,"dance pop,electropop,pop,post-teen pop",pop,36,0,0
356,Some Nights,fun.,2013,6t6oULCRS6hnI7rm0h5gwl,0.0178,0.672,277040,0.738,6.75e-05,0,0.0927,-7.045,0.0506,107.938,4,0.392,72,"baroque pop,metropopolis,modern rock,pop,pop rock",pop,36,0,0
357,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,64Nbnw22f8adeMuLd1nSBD,0.015,0.867,255693,0.638,0.0,6,0.157,-6.657,0.0643,113.969,4,0.28,77,"dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",pop,36,0,0
358,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013,39FwE8edwuyiaa4PrGBkP7,0.251,0.611,288760,0.688,2.35e-06,2,0.248,-6.369,0.0529,169.895,4,0.649,77,"contemporary country,country,country road,oklahoma country",contemporary country,12,0,0
359,"Gone, Gone, Gone",Phillip Phillips,2013,5L79aNYCTKiZq7vaOElXYj,0.129,0.664,209693,0.642,0.0,6,0.114,-5.961,0.038,118.002,4,0.501,65,"folk-pop,modern rock,neo mellow,pop rock",pop rock,39,0,0
360,Demons,Imagine Dragons,2013,3LlAyCYU26dvFZBDUIMb7a,0.19,0.505,175200,0.71,0.00025,3,0.329,-3.015,0.0321,89.938,4,0.428,90,"modern rock,rock",modern rock,34,0,0
361,Counting Stars,OneRepublic,2013,6sy3LkhNFjJWlaeSMNwQ62,0.0654,0.664,257840,0.705,0.0,1,0.115,-4.972,0.0382,122.017,4,0.477,84,"dance pop,neo mellow,piano rock,pop,pop rock,post-teen pop",pop,36,0,0
362,I Cry,Flo Rida,2013,4bZd0nRuX8HyjeXAUBczvm,0.00616,0.693,223800,0.822,1.79e-06,4,0.315,-5.441,0.0439,126.035,4,0.763,83,"dance pop,miami hip hop,pop,pop rap",pop,36,0,0
363,Little Talks,Of Monsters And Men,2013,2ihCaVdNZmnHZWt0fvAM7B,0.0206,0.457,266600,0.757,0.0,1,0.146,-5.177,0.032,102.961,4,0.417,74,"folk-pop,indie pop,metropopolis,modern alternative rock,modern rock,pop rock,stomp and holler",pop rock,39,0,0
364,The Other Side,Jason Derulo,2013,5FljCWR0cys07PQ9277GTz,0.0525,0.561,226987,0.836,0.0,9,0.136,-3.939,0.1,127.923,4,0.517,88,"dance pop,pop,pop rap,post-teen pop",pop,36,0,0
365,Berzerk,Eminem,2013,6Xk7PnitV9jCRorWt2LiVZ,0.0217,0.739,238746,0.872,0.0,11,0.26,-4.059,0.333,95.084,4,0.684,94,"detroit hip hop,hip hop,rap",rap,42,0,0
366,Catch My Breath,Kelly Clarkson,2013,5qxPabNDnJQ551Tf4v6k3j,0.0251,0.692,250387,0.908,0.0,9,0.0933,-5.364,0.0677,124.042,4,0.513,78,"dance pop,neo mellow,pop,pop rock,post-teen pop,talent show,urban contemporary",pop,36,0,0
367,Crash My Party,Luke Bryan,2013,6GBUsjHfZuweYf5lQEz6mP,0.0285,0.526,234760,0.816,0.0,7,0.22,-4.009,0.0421,144.032,4,0.414,80,"contemporary country,country,country road",contemporary country,12,0,0
368,Pour It Up,Rihanna,2013,76VtA90NKurNqaQpV126Ue,0.0254,0.785,161200,0.478,0.0,2,0.0901,-8.735,0.0419,134.002,4,0.39,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
369,22,Taylor Swift,2013,3bIxTsfeNMO7Nt2J3EUKrA,0.00215,0.658,230133,0.729,0.0013,7,0.0752,-6.561,0.0378,104.007,4,0.668,98,"pop,post-teen pop",pop,36,0,0
370,I Want Crazy,Hunter Hayes,2013,4FkgULes13bk2eHrsJg4q9,0.0539,0.562,236865,0.878,0.0,8,0.112,-4.806,0.0387,103.029,4,0.558,66,"contemporary country,country,country road,modern country rock,neo mellow,pop,pop rock,post-teen pop",pop,36,0,0
371,The Fox,Ylvis,2013,5HOpkTTVcmZHnthgyxrIL8,0.107,0.703,213708,0.867,0.0,6,0.119,-4.292,0.0453,128.008,4,0.546,54,comic,comic,11,0,0
372,Best Song Ever,One Direction,2013,5T7ZFtCcOgkpjxcuaeZbw0,0.0227,0.652,200107,0.877,0.0,1,0.0789,-2.986,0.0465,118.491,4,0.486,91,"boy band,pop,post-teen pop,talent show",pop,36,0,0
373,The A Team,Ed Sheeran,2013,1VdZ0vKfR5jneCmWIUAMxK,0.669,0.642,258373,0.289,0.0,9,0.18,-9.918,0.0367,84.996,4,0.407,93,"pop,uk pop",pop,36,0,0
374,Carry On,fun.,2013,7gpy7sfWPNuOKmUNs3XQYE,0.118,0.388,278373,0.694,0.000293,5,0.082,-5.769,0.0735,145.434,5,0.365,72,"baroque pop,metropopolis,modern rock,pop,pop rock",pop,36,0,0
375,Highway Don't Care,Tim McGraw With Taylor Swift,2013,4wFUdSCer8bdQsrp1M90sa,0.0216,0.47,276880,0.79,0.0,2,0.0863,-5.352,0.039,158.061,4,0.495,77,"contemporary country,country,country road",contemporary country,12,0,0
376,That's My Kind Of Night,Luke Bryan,2013,5HGibWoxnkYSkl6mHmAlOE,0.0571,0.661,190187,0.751,0.0,7,0.105,-2.909,0.0481,109.995,4,0.875,80,"contemporary country,country,country road",contemporary country,12,0,0
377,Swimming Pools (Drank),Kendrick Lamar,2013,6REbwUNlppTfcnV4d4ZoZi,0.00627,0.577,247800,0.447,0.00022,8,0.0899,-5.892,0.277,74.236,4,0.189,89,"conscious hip hop,hip hop,rap,west coast rap",rap,42,0,0
378,Sure Be Cool If You Did,Blake Shelton,2013,5yIiXdLRE85OBiQmCaUenq,0.255,0.576,215720,0.726,0.0,11,0.108,-4.625,0.035,136.802,4,0.582,77,"contemporary country,country,country road,oklahoma country",contemporary country,12,0,0
379,#Beautiful,Mariah Carey Featuring Miguel,2013,617KSbx52ACbnQBxSsG26X,0.346,0.677,199867,0.749,0.0,4,0.347,-5.405,0.0391,107.042,4,0.469,81,"dance pop,pop,urban contemporary",pop,36,0,0
380,Troublemaker,Olly Murs Featuring Flo Rida,2013,0gRczqVHrEQQDyizJUtgRc,0.02,0.761,185200,0.856,0.0,0,0.149,-3.65,0.0731,106.009,4,0.967,71,"dance pop,europop,pop,pop rock,post-teen pop,talent show,tropical house,uk pop",pop,36,0,0
381,Body Party,Ciara,2013,0rFZaQ4crlGAzuCjWCQ2xu,0.0143,0.577,234040,0.576,0.0,2,0.602,-6.299,0.0563,133.973,4,0.12,76,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary",pop,36,0,0
382,Adorn,Miguel,2013,25cUhiAod71TIQSNicOaW3,0.0543,0.625,193147,0.576,4.07e-05,11,0.187,-5.693,0.175,179.063,4,0.235,82,"dance pop,pop,r&b,urban contemporary",pop,36,0,0
383,Hall Of Fame,The Script Featuring will.i.am,2013,1X1DWw2pcNZ8zSub3uhlNz,0.0654,0.421,202533,0.873,0.0,10,0.123,-4.343,0.0564,84.786,4,0.629,79,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",pop,36,0,0
384,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,4kte3OcW800TPvOVgrLLj8,0.248,0.658,251627,0.677,0.0,5,0.368,-6.628,0.0393,124.91,4,0.248,82,"dance pop,pop,pop rap,r&b,urban contemporary",pop,36,0,0
385,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,0HFrCOmhCYXlv4NdEwRAuj,0.422,0.422,260276,0.641,0.0,10,0.317,-4.947,0.323,187.027,3,0.654,52,"atl hip hop,atl trap,dirty south rap,gangster rap,houston rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
